PROJECT_ID	PROTEIN_ID	EGGNOG_GROUP_CODE	EGGNOG_LEVEL	QUERY_LENGHT	HMM_FROM	HMM_TO	SEQ_FROM	SEQ_TO	QUERY_COVERAGE	PARENT_LUCA_GROUPS	COG_FUNCTIONAL_CATEGORIES	FUNCTIONAL_DESCRIPTION
1094188.PRJNA73891	1094188.PRJNA73891.YSBL_0159	0EXDB	cloNOG	263	18	216	9	261	0.958174904943	COG1714,COG3254	S	RDD domain containing protein
1094188.PRJNA73891	1094188.PRJNA73891.YSBL_0160	0ES18	cloNOG	326	49	359	1	320	0.978527607362	COG0616	O	signal peptide peptidase SppA, 36K type
1094188.PRJNA73891	1094188.PRJNA73891.YSBL_0161	0ESEK	cloNOG	198	1	191	1	192	0.964646464646	COG1971,COG0428	P	Probably functions as a manganese efflux pump (By similarity)
1094188.PRJNA73891	1094188.PRJNA73891.YSBL_0164	0ENYM	cloNOG	286	1	285	1	285	0.993006993007	COG1131,0XQRE,COG0841	S	ABC transporter, ATP-binding protein
1094188.PRJNA73891	1094188.PRJNA73891.YSBL_0165	0EX6V	cloNOG	417	2	383	3	410	0.976019184652	127XA	S	
1094188.PRJNA73891	1094188.PRJNA73891.YSBL_0166	0EX6V	cloNOG	638	403	718	3	342	0.531347962382	127XA	S	
1094188.PRJNA73891	1094188.PRJNA73891.YSBL_0167	0ENX8	cloNOG	394	11	401	2	392	0.989847715736	COG0133,COG0134,COG0135	E	The beta subunit is responsible for the synthesis of L- tryptophan from indole and L-serine (By similarity)
1094188.PRJNA73891	1094188.PRJNA73891.YSBL_0168	0EPU7	cloNOG	256	1	262	1	255	0.9921875	COG0159	E	The alpha subunit is responsible for the aldol cleavage of indoleglycerol phosphate to indole and glyceraldehyde 3- phosphate (By similarity)
1094188.PRJNA73891	1094188.PRJNA73891.YSBL_0169	0EQ5Z	cloNOG	349	7	319	34	345	0.89111747851	COG0053,COG0561	P	cation diffusion facilitator family transporter
1094188.PRJNA73891	1094188.PRJNA73891.YSBL_2867	0EPEI	cloNOG	392	1	387	1	390	0.992346938776	0XP2I	G	Major Facilitator
1094188.PRJNA73891	1094188.PRJNA73891.YSBL_2868	0EXWJ	cloNOG	248	1	264	1	248	0.995967741935	0Y012	S	Copper amine oxidase N-terminal domain
1094188.PRJNA73891	1094188.PRJNA73891.YSBL_2869	0EPFP	cloNOG	307	1	311	1	305	0.990228013029	COG2319,COG4174,COG0503,COG0601,COG1173	P	binding-protein-dependent transport systems inner membrane component
1094188.PRJNA73891	1094188.PRJNA73891.YSBL_2870	0EPNT	cloNOG	351	44	337	36	350	0.894586894587	COG4239,COG0601,COG1173	P	abc transporter, permease
1094188.PRJNA73891	1094188.PRJNA73891.YSBL_2871	0EPFX	cloNOG	338	60	386	2	331	0.973372781065	COG4608,COG1124,COG0444,COG1123,COG1173	E, P	Abc transporter
1094188.PRJNA73891	1094188.PRJNA73891.YSBL_2872	0F7EC	cloNOG	342	7	334	12	340	0.959064327485	COG4608	E	Abc transporter
1094188.PRJNA73891	1094188.PRJNA73891.YSBL_2873	0F79A	cloNOG	541	4	547	2	541	0.996303142329	COG4166	E	Extracellular solute-binding protein, family 5
1094188.PRJNA73891	1094188.PRJNA73891.YSBL_2862	0ERJ0	cloNOG	347	325	640	1	345	0.991354466859	COG3693,COG5498,0YH6C,COG0726	G	hydrolase family 11
1094188.PRJNA73891	1094188.PRJNA73891.YSBL_2863	0EW0S	cloNOG	203	1	213	1	203	0.995073891626	1259X	S	
1094188.PRJNA73891	1094188.PRJNA73891.YSBL_2864	0EPQC	cloNOG	283	2	283	1	281	0.989399293286	COG1131	V	ABC transporter
1094188.PRJNA73891	1094188.PRJNA73891.YSBL_2865	0EU2K	cloNOG	124	3	125	1	123	0.983870967742	COG1725	K	Transcriptional regulator, GntR family
1094188.PRJNA73891	1094188.PRJNA73891.YSBL_2866	0EU2M	cloNOG	259	1	256	1	256	0.984555984556	COG1145	C	Inherit from firmNOG: 4fe-4S binding domain protein
1094188.PRJNA73891	1094188.PRJNA73891.YSBL_2861	0ERJ0	cloNOG	249	88	323	1	249	0.995983935743	COG3693,COG5498,0YH6C,COG0726	G	hydrolase family 11
1094188.PRJNA73891	1094188.PRJNA73891.YSBL_2780	0F3X4	cloNOG	49	12	55	6	49	0.877551020408	COG3328	L	Transposase, Mutator family
1094188.PRJNA73891	1094188.PRJNA73891.YSBL_2781	0F27K	cloNOG	727	120	761	60	703	0.884456671252	11KBS,COG3469,COG3979,COG2730	S	Inherit from bactNOG: fibronectin type iii
1094188.PRJNA73891	1094188.PRJNA73891.YSBL_2782	0F3MW	cloNOG	591	17	550	4	562	0.944162436548	COG0457	S	Domain protein
1094188.PRJNA73891	1094188.PRJNA73891.YSBL_2783	0ERV7	cloNOG	221	5	229	2	219	0.981900452489	COG2003	L	DNA repair protein radc
1094188.PRJNA73891	1094188.PRJNA73891.YSBL_2784	0ENSS	cloNOG	470	455	920	2	469	0.993617021277	COG0772,COG0768	M	penicillin-binding protein
1094188.PRJNA73891	1094188.PRJNA73891.YSBL_2785	0ER46	cloNOG	422	38	431	6	411	0.95971563981	COG0772,COG0768	D	cell cycle protein
1094188.PRJNA73891	1094188.PRJNA73891.YSBL_2786	0ETJC	cloNOG	149	25	171	1	147	0.979865771812	COG1716	T	FHA domain-containing protein
1094188.PRJNA73891	1094188.PRJNA73891.YSBL_2787	0ESI8	cloNOG	249	15	245	1	233	0.931726907631	COG4905,COG5523	S	integral membrane protein
1094188.PRJNA73891	1094188.PRJNA73891.YSBL_2788	0EZWE	cloNOG	212	1	212	1	212	0.995283018868	COG0474	P	Inherit from COG: P-type atpase
1138384.PRJNA82183	1138384.PRJNA82183.AD2_2848	0EQ4R	cloNOG	619	6	547	3	556	0.89337641357	COG5492,COG3509,COG0726,COG2304,COG5498,COG0438,COG3693,COG5520,COG2382,COG3507,COG2730	G	endo-1,4-beta-xylanase (EC 3.2.1.8)
1138384.PRJNA82183	1138384.PRJNA82183.AD2_2850	0F3EW	cloNOG	320	15	333	26	318	0.9125	126UE	S	
1138384.PRJNA82183	1138384.PRJNA82183.AD2_2796	0ENQI	cloNOG	942	1	941	1	941	0.997876857749	COG0178	L	The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrA is an ATPase and a DNA-binding protein. A damage recognition complex composed of 2 UvrA and 2 UvrB subunits scans DNA for abnormalities. When the presence of a lesion has been verified by UvrB, the UvrA molecules dissociate (By similarity)
1138384.PRJNA82183	1138384.PRJNA82183.AD2_2797	0EX5C	cloNOG	348	27	238	26	348	0.925287356322	COG3883,0XVBT,COG3584,COG3583	S	3D domain protein
1138384.PRJNA82183	1138384.PRJNA82183.AD2_2798	0EPAA	cloNOG	660	1	656	1	658	0.995454545455	COG0556	L	damaged site, the DNA wraps around one UvrB monomer. DNA wrap is dependent on ATP binding by UvrB and probably causes local melting of the DNA helix, facilitating insertion of UvrB beta-hairpin between the DNA strands. Then UvrB probes one DNA strand for the presence of a lesion. If a lesion is found the UvrA subunits dissociate and the UvrB-DNA preincision complex is formed. This complex is subsequently bound by UvrC and the second UvrB is released. If no lesion is found, the DNA wraps around the other UvrB subunit that will check the other stand for damage (By similarity)
1138384.PRJNA82183	1138384.PRJNA82183.AD2_2799	0EVUS	cloNOG	112	25	133	2	110	0.964285714286	12CMJ	S	Protein of unknown function (DUF2752)
1138384.PRJNA82183	1138384.PRJNA82183.AD2_2800	0EU7H	cloNOG	119	75	187	5	116	0.932773109244	11WKA	S	
1138384.PRJNA82183	1138384.PRJNA82183.AD2_2801	0EQ1G	cloNOG	727	16	739	2	725	0.994497936726	COG0188	L	topoisomerase IV, A subunit
