PROJECT_ID	PROTEIN_ID	EGGNOG_GROUP_CODE	EGGNOG_LEVEL	QUERY_LENGHT	HMM_FROM	HMM_TO	SEQ_FROM	SEQ_TO	QUERY_COVERAGE	PARENT_LUCA_GROUPS	COG_FUNCTIONAL_CATEGORIES	FUNCTIONAL_DESCRIPTION
1115511.PRJDB13	1115511.PRJDB13.EA14781_144_00010	0QJ2A	gproNOG	306	5	309	2	306	0.993464052288	COG1560,COG2121	M	Lipid A biosynthesis lauroyl
1115511.PRJDB13	1115511.PRJDB13.EA14781_144_00020	0QN3U	gproNOG	408	3	400	9	405	0.970588235294	0ZVCH	G	multidrug resistance protein mdtG
1115511.PRJDB13	1115511.PRJDB13.EA14781_144_00030	0QQV6	gproNOG	124	1	124	1	124	0.991935483871	11J86	S	Acidic protein msyB
1115511.PRJDB13	1115511.PRJDB13.EA14781_144_00040	0QTUS	gproNOG	75	5	79	1	75	0.986666666667	COG5645	S	(Lipo)protein
1115511.PRJDB13	1115511.PRJDB13.EA14781_144_00050	0QHXZ	gproNOG	847	2	715	68	824	0.892561983471	COG2943	M	Involved in the biosynthesis of osmoregulated periplasmic glucans (OPGs) (By similarity)
1115511.PRJDB13	1115511.PRJDB13.EA14781_144_00060	0QIAE	gproNOG	517	6	514	3	517	0.99419729207	COG3131	P	Involved in the biosynthesis of osmoregulated periplasmic glucans (OPGs) (By similarity)
1115511.PRJDB13	1115511.PRJDB13.EA14781_144_00070	0QIMD	gproNOG	385	1	380	1	379	0.981818181818	0ZVNJ	M	Necessary for the succinyl substitution of periplasmic glucans. Could catalyze the transfer of succinyl residues from the cytoplasmic side of the membrane to the nascent glucan backbones on the periplasmic side of the membrane (By similarity)
1115511.PRJDB13	1115511.PRJDB13.EA14781_144_00080	0QKS3	gproNOG	476	41	514	6	476	0.987394957983	COG1502	I	phospholipase d
1115511.PRJDB13	1115511.PRJDB13.EA14781_144_00090	0QR2P	gproNOG	177	74	249	1	175	0.983050847458	COG2110	S	Deacetylates O-acetyl-ADP ribose. Down-regulates ribonuclease 3 (RNase III) activity. Acts by interacting directly with the region of the ribonuclease that is required for dimerization activation (By similarity)
1115511.PRJDB13	1115511.PRJDB13.EA14781_144_00100	0QY1J	gproNOG	49	59	106	2	48	0.938775510204	0Y0RF	S	
1115511.PRJDB13	1115511.PRJDB13.EA14781_187_00010	0QIXX	gproNOG	342	6	341	2	336	0.976608187135	COG0454,COG0812	M	Cell wall formation (By similarity)
1115511.PRJDB13	1115511.PRJDB13.EA14781_187_00020	0QJWA	gproNOG	321	1	316	1	319	0.990654205607	COG1654,COG1521,COG0340	H	Biotin-protein ligase
1115511.PRJDB13	1115511.PRJDB13.EA14781_187_00030	0QJ14	gproNOG	316	2	316	2	316	0.993670886076	COG1072	H	Pantothenic acid kinase
1115511.PRJDB13	1115511.PRJDB13.EA14781_187_00040	0QI49	gproNOG	394	1	393	1	393	0.994923857868	COG0050	J	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis (By similarity)
1115511.PRJDB13	1115511.PRJDB13.EA14781_157_00010	0QQ9Q	gproNOG	161	1	156	1	158	0.975155279503	COG3678	N, P, T, U	Periplasmic protein
1115511.PRJDB13	1115511.PRJDB13.EA14781_157_00020	0QMSM	gproNOG	191	3	184	1	182	0.947643979058	COG3758	S	response to stress
1115511.PRJDB13	1115511.PRJDB13.EA14781_157_00030	0QN7Z	gproNOG	275	2	277	3	270	0.970909090909	COG0388,COG3236,COG0171	H	NH3-dependent NAD( ) synthetase
1115511.PRJDB13	1115511.PRJDB13.EA14781_157_00040	0QRI2	gproNOG	112	1	111	1	111	0.982142857143	11JD7	K	DNA-binding transcriptional activator OsmE
1115511.PRJDB13	1115511.PRJDB13.EA14781_157_00050	0QS6T	gproNOG	106	1	106	1	106	0.990566037736	COG1440	G	PTS system N,N'-diacetylchitobiose-specific transporter subunit IIB
1115511.PRJDB13	1115511.PRJDB13.EA14781_157_00060	0QHWM	gproNOG	452	1	453	1	452	0.997787610619	COG5001,COG2200,COG1440,COG1455	G	PTS system N,N'-diacetylchitobiose-specific transporter subunit IIC
1115511.PRJDB13	1115511.PRJDB13.EA14781_157_00070	0QSTH	gproNOG	116	1	115	1	115	0.98275862069	COG1447	G	PTS system N,N'-diacetylchitobiose-specific transporter subunit IIA
1115511.PRJDB13	1115511.PRJDB13.EA14781_157_00080	0QMUZ	gproNOG	55	1	55	1	55	0.981818181818	0XRRP	K	transcriptional regulator ChbR
1115511.PRJDB13	1115511.PRJDB13.EA14781_157_00090	0QMUZ	gproNOG	217	64	278	2	216	0.986175115207	0XRRP	K	transcriptional regulator ChbR
