GENE_ID	CONTIG_ID	TYPE	LENGTH	START	END	STRAND	START_CODON	STOP_CODON	GC%	OG	ANNOTATION
1094188.PRJNA73891.YSBL_R0042	1094188.PRJNA73891.AJGT01000049	tRNA	94	43191	43284	+	Yes	Yes	57.4468085106	tRNA	annotation tax_id_proj_id=1094188.PRJNA73891 product=tRNA-Ser project_id=PRJNA73891 cog=- 
1094188.PRJNA73891.YSBL_0162	1094188.PRJNA73891.AJGT01000100	CDS	423	2722	3144	+	Yes	Yes	35.9338061466	-	annotation tax_id_proj_id=1094188.PRJNA73891 note=KEGG: cth:Cthe_1419 hypothetical protein cog=- project_id=PRJNA73891 protein_id=EIC03205.1 GI=380769255 
1094188.PRJNA73891.YSBL_2467	1094188.PRJNA73891.AJGT01000049	CDS	288	62229	62516	-	Yes	Yes	33.3333333333	-	annotation tax_id_proj_id=1094188.PRJNA73891 project_id=PRJNA73891 cog=- GI=380769927 protein_id=EIC03826.1 
1094188.PRJNA73891.YSBL_R0036	1094188.PRJNA73891.AJGT01000047	tRNA	75	198557	198631	-	Yes	Yes	57.3333333333	tRNA	annotation tax_id_proj_id=1094188.PRJNA73891 product=tRNA-Arg project_id=PRJNA73891 cog=- 
1094188.PRJNA73891.YSBL_0159	1094188.PRJNA73891.AJGT01000100	CDS	792	4	795	-	Yes	Yes	37.2474747475	-	annotation product=RDD domain containing protein tax_id_proj_id=1094188.PRJNA73891 note=PFAM: RDD domain containing protein; protein of unknown function DUF718; KEGG: cth:Cthe_1422 RDD domain-containing protein cog=- project_id=PRJNA73891 protein_id=EIC03202.1 GI=380769252 
1094188.PRJNA73891.YSBL_0160	1094188.PRJNA73891.AJGT01000100	CDS	981	755	1735	-	Yes	Yes	40.9785932722	-	annotation product=signal peptide peptidase SppA, 36K type tax_id_proj_id=1094188.PRJNA73891 note=KEGG: cth:Cthe_1421 signal peptide peptidase SppA, 36K type; TIGRFAM: signal peptide peptidase SppA, 36K type; PFAM: peptidase S49 cog=- project_id=PRJNA73891 protein_id=EIC03203.1 GI=380769253 
1094188.PRJNA73891.YSBL_0161	1094188.PRJNA73891.AJGT01000100	CDS	597	2015	2611	+	Yes	Yes	35.3433835846	-	annotation product=UPF0059 membrane protein yebN tax_id_proj_id=1094188.PRJNA73891 note=KEGG: cth:Cthe_1420 hypothetical protein; HAMAP: UPF0059 membrane protein yebN; PFAM: protein of unknown function DUF204 cog=- project_id=PRJNA73891 protein_id=EIC03204.1 GI=380769254 
1094188.PRJNA73891.YSBL_0163	1094188.PRJNA73891.AJGT01000100	CDS	2106	3406	5511	+	Yes	Yes	33.5707502374	-	annotation tax_id_proj_id=1094188.PRJNA73891 note=KEGG: cth:Cthe_1417 hypothetical protein cog=- project_id=PRJNA73891 protein_id=EIC03206.1 GI=380769256 
1094188.PRJNA73891.YSBL_0164	1094188.PRJNA73891.AJGT01000100	CDS	861	5513	6373	+	Yes	Yes	37.2822299652	-	annotation product=ABC transporter related protein tax_id_proj_id=1094188.PRJNA73891 note=KEGG: cth:Cthe_1415 ABC transporter related protein; PFAM: ABC transporter related protein; SMART: AAA ATPase cog=- project_id=PRJNA73891 protein_id=EIC03207.1 GI=380769257 
1094188.PRJNA73891.YSBL_0165	1094188.PRJNA73891.AJGT01000100	CDS	1254	6391	7644	+	Yes	Yes	31.9776714514	-	annotation tax_id_proj_id=1094188.PRJNA73891 note=KEGG: cth:Cthe_1414 hypothetical protein cog=- project_id=PRJNA73891 protein_id=EIC03208.1 GI=380769258 
