GENE_ID	CONTIG_ID	TYPE	LENGTH	START	END	STRAND	START_CODON	STOP_CODON	GC%	OG	ANNOTATION
1115511.PRJDB13.EA14781_003_00220	1115511.PRJDB13.BBMY01000003	CDS	1698	26874	28571	-	Yes	Yes	53.7691401649	-	annotation tax_id_proj_id=1115511.PRJDB13 project_id=PRJDB13 cog=- GI=689835739 protein_id=GAL52341.1 
1115511.PRJDB13.EA14781_003_00230	1115511.PRJDB13.BBMY01000003	CDS	576	28568	29143	-	Yes	Yes	50.3472222222	-	annotation tax_id_proj_id=1115511.PRJDB13 project_id=PRJDB13 cog=- GI=689835740 protein_id=GAL52342.1 
1115511.PRJDB13.EA14781_003_00240	1115511.PRJDB13.BBMY01000003	CDS	750	29115	29864	-	Yes	Yes	49.8666666667	-	annotation tax_id_proj_id=1115511.PRJDB13 project_id=PRJDB13 cog=- GI=689835741 protein_id=GAL52343.1 
1115511.PRJDB13.EA14781_003_00250	1115511.PRJDB13.BBMY01000003	CDS	1059	29897	30955	-	Yes	Yes	47.403210576	-	annotation tax_id_proj_id=1115511.PRJDB13 project_id=PRJDB13 cog=- GI=689835742 protein_id=GAL52344.1 
1115511.PRJDB13.EA14781_003_00260	1115511.PRJDB13.BBMY01000003	CDS	858	30980	31837	-	Yes	Yes	45.6876456876	-	annotation tax_id_proj_id=1115511.PRJDB13 project_id=PRJDB13 cog=- GI=689835743 protein_id=GAL52345.1 
1115511.PRJDB13.EA14781_003_00550	1115511.PRJDB13.BBMY01000003	CDS	300	54938	55237	-	Yes	Yes	54.6666666667	-	annotation tax_id_proj_id=1115511.PRJDB13 project_id=PRJDB13 cog=- GI=689835772 protein_id=GAL52374.1 
1115511.PRJDB13.EA14781_003_00560	1115511.PRJDB13.BBMY01000003	CDS	246	55234	55479	-	Yes	Yes	52.4390243902	-	annotation tax_id_proj_id=1115511.PRJDB13 project_id=PRJDB13 cog=- GI=689835773 protein_id=GAL52375.1 
1115511.PRJDB13.EA14781_003_00570	1115511.PRJDB13.BBMY01000003	CDS	204	55476	55679	-	Yes	Yes	49.5098039216	-	annotation tax_id_proj_id=1115511.PRJDB13 project_id=PRJDB13 cog=- GI=689835774 protein_id=GAL52376.1 
1115511.PRJDB13.EA14781_003_00580	1115511.PRJDB13.BBMY01000003	CDS	330	55679	56008	-	Yes	Yes	50.9090909091	-	annotation tax_id_proj_id=1115511.PRJDB13 project_id=PRJDB13 cog=- GI=689835775 protein_id=GAL52377.1 
1115511.PRJDB13.EA14781_003_00590	1115511.PRJDB13.BBMY01000003	CDS	414	56016	56429	-	Yes	Yes	51.4492753623	-	annotation tax_id_proj_id=1115511.PRJDB13 project_id=PRJDB13 cog=- GI=689835776 protein_id=GAL52378.1 
1115511.PRJDB13.EA14781_003_00600	1115511.PRJDB13.BBMY01000003	CDS	243	56632	56874	-	Yes	Yes	46.0905349794	-	annotation tax_id_proj_id=1115511.PRJDB13 project_id=PRJDB13 cog=- GI=689835777 protein_id=GAL52379.1 
1115511.PRJDB13.EA14781_003_00610	1115511.PRJDB13.BBMY01000003	CDS	279	56886	57164	-	Yes	Yes	43.0107526882	-	annotation tax_id_proj_id=1115511.PRJDB13 project_id=PRJDB13 cog=- GI=689835778 protein_id=GAL52380.1 
